CategoryID,Name,Path,PromotionID,Price
6327,Carbon credits,/Business-farming-industry/Carbon-credits,1,0.0
6327,Carbon credits,/Business-farming-industry/Carbon-credits,2,2.0
6327,Carbon credits,/Business-farming-industry/Carbon-credits,3,10.0
6327,Carbon credits,/Business-farming-industry/Carbon-credits,4,15.0
6328,Badges,/Antiques-collectables/Militaria/Badges,1,0.0
6328,Badges,/Antiques-collectables/Militaria/Badges,2,0.55
6328,Badges,/Antiques-collectables/Militaria/Badges,3,3.45
6328,Badges,/Antiques-collectables/Militaria/Badges,4,3.95
6329,Home & garden,/Books/Magazines/Home-garden,1,0.0
6329,Home & garden,/Books/Magazines/Home-garden,2,0.25
6329,Home & garden,/Books/Magazines/Home-garden,3,0.75
6329,Home & garden,/Books/Magazines/Home-garden,4,0.95
6330,Business & technology,/Books/Magazines/Business-technology,1,0.0
6330,Business & technology,/Books/Magazines/Business-technology,2,0.25
6330,Business & technology,/Books/Magazines/Business-technology,3,0.75
6330,Business & technology,/Books/Magazines/Business-technology,4,0.95
6331,Automotive & aviation,/Books/Magazines/Automotive-aviation,,
6332,Art & craft,/Books/Magazines/Art-craft,1,0.0
6332,Art & craft,/Books/Magazines/Art-craft,2,0.25
6332,Art & craft,/Books/Magazines/Art-craft,3,0.75
6332,Art & craft,/Books/Magazines/Art-craft,4,0.95
6333,Royalty,/Books/Nonfiction/Biography/Royalty,1,0.0
6333,Royalty,/Books/Nonfiction/Biography/Royalty,2,0.25
6333,Royalty,/Books/Nonfiction/Biography/Royalty,3,0.75
6333,Royalty,/Books/Nonfiction/Biography/Royalty,4,0.95
6335,Cats,/Books/Nonfiction/Pets/Cats,1,0.0
6335,Cats,/Books/Nonfiction/Pets/Cats,2,0.25
6335,Cats,/Books/Nonfiction/Pets/Cats,3,0.75
6335,Cats,/Books/Nonfiction/Pets/Cats,4,0.95
6334,Dogs,/Books/Nonfiction/Pets/Dogs,1,0.0
6334,Dogs,/Books/Nonfiction/Pets/Dogs,2,0.25
6334,Dogs,/Books/Nonfiction/Pets/Dogs,3,0.75
6334,Dogs,/Books/Nonfiction/Pets/Dogs,4,0.95
6336,Fish,/Books/Nonfiction/Pets/Fish,1,0.0
6336,Fish,/Books/Nonfiction/Pets/Fish,2,0.25
6336,Fish,/Books/Nonfiction/Pets/Fish,3,0.75
6336,Fish,/Books/Nonfiction/Pets/Fish,4,0.95
